ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask
1768059252016,v1.1,KXBTC15M-26JAN101045-45,1768059252016,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,970,0.67,0.69,0.31,0.33,True,,0,,,,,,,,294.1176470588222,2871.3599999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:1e0d4e0cbf"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059253227,v1.1,KXBTC15M-26JAN101045-45,1768059253227,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,1425,0.68,0.69,0.31,0.32,True,,0,,,,,,,,145.9854014598525,2901.5099999999998,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:8bc72ccb13"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059254439,v1.1,KXBTC15M-26JAN101045-45,1768059254439,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,2622,0.67,0.69,0.31,0.33,True,,0,,,,,,,,294.1176470588222,2720.46,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:973f9203d0"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059255639,v1.1,KXBTC15M-26JAN101045-45,1768059255639,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,556,0.68,0.69,0.31,0.32,True,,0,,,,,,,,145.9854014598525,2775.8999999999996,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:78b3a56e20"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059256832,v1.1,KXBTC15M-26JAN101045-45,1768059256832,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,979,0.68,0.69,0.31,0.32,True,,0,,,,,,,,145.9854014598525,2775.8999999999996,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:78b3a56e20"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059258020,v1.1,KXBTC15M-26JAN101045-45,1768059258020,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,939,0.68,0.69,0.31,0.32,True,,0,,,,,,,,145.9854014598525,2775.8999999999996,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:066db4eb9f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059259230,v1.1,KXBTC15M-26JAN101045-45,1768059259230,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,1329,0.68,0.7,0.3,0.32,True,,0,,,,,,,,289.85507246376676,2772.7,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:f673533484"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059260428,v1.1,KXBTC15M-26JAN101045-45,1768059260428,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,1411,0.69,0.7,0.3,0.31,True,,0,,,,,,,,143.88489208633106,2772.75,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:98fa970b23"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059261631,v1.1,KXBTC15M-26JAN101045-45,1768059261631,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.965,True,RESOLUTION_UNKNOWN,2302,0.69,0.7,0.3,0.31,True,,0,,,,,,,,143.88489208633106,2776.4,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:b1cc91821d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059262831,v1.1,KXBTC15M-26JAN101045-45,1768059262831,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90501.985,True,RESOLUTION_UNKNOWN,689,0.69,0.7,0.3,0.31,True,,0,,,,,,,,143.88489208633106,2776.4,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:b1cc91821d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
