ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,book_source,book_latency_ms,book_http_status,book_missing_reason,yes_bid,yes_ask,no_bid,no_ask,book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768323094627,KXBTC-25DEC31,1768323094627,1768326673405,93642.66500000001,coinbase,662,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323095723,KXBTC-25DEC31,1768323095723,1768326673405,93642.66500000001,coinbase,1204,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323096820,KXBTC-25DEC31,1768323096820,1768326673405,93640.005,coinbase,693,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323097929,KXBTC-25DEC31,1768323097929,1768326673405,93640.005,coinbase,787,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323099057,KXBTC-25DEC31,1768323099057,1768326673405,93638.525,coinbase,937,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323100167,KXBTC-25DEC31,1768323100167,1768326673405,93638.025,coinbase,599,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323101264,KXBTC-25DEC31,1768323101264,1768326673405,93638.025,coinbase,1206,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323102388,KXBTC-25DEC31,1768323102388,1768326673405,93616.465,coinbase,1211,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323103499,KXBTC-25DEC31,1768323103499,1768326673405,93609.545,coinbase,1497,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323104593,KXBTC-25DEC31,1768323104593,1768326673405,93601.265,coinbase,1031,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323105731,KXBTC-25DEC31,1768323105731,1768326673405,93601.265,coinbase,2169,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323106827,KXBTC-25DEC31,1768323106827,1768326673405,93601.265,coinbase,1802,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323107920,KXBTC-25DEC31,1768323107920,1768326673405,93601.265,coinbase,2895,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323109021,KXBTC-25DEC31,1768323109021,1768326673405,93601.265,coinbase,1930,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323110135,KXBTC-25DEC31,1768323110135,1768326673405,93601.265,coinbase,1186,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323111247,KXBTC-25DEC31,1768323111247,1768326673405,93601.265,coinbase,253,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323112347,KXBTC-25DEC31,1768323112347,1768326673405,93601.265,coinbase,865,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323113448,KXBTC-25DEC31,1768323113448,1768326673405,93613.67499999999,coinbase,539,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323114579,KXBTC-25DEC31,1768323114579,1768326673405,93621.955,coinbase,745,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323115682,KXBTC-25DEC31,1768323115682,1768326673405,93638.005,coinbase,767,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323116855,KXBTC-25DEC31,1768323116855,1768326673405,93630.005,coinbase,860,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323117972,KXBTC-25DEC31,1768323117972,1768326673405,93630.005,coinbase,785,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323119076,KXBTC-25DEC31,1768323119076,1768326673405,93630.005,coinbase,686,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323120174,KXBTC-25DEC31,1768323120174,1768326673405,93630.005,coinbase,1223,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323121308,KXBTC-25DEC31,1768323121308,1768326673405,93617.82500000001,coinbase,1023,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323122402,KXBTC-25DEC31,1768323122402,1768326673405,93618.005,coinbase,1387,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323123508,KXBTC-25DEC31,1768323123508,1768326673405,93617.82500000001,coinbase,1327,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323124621,KXBTC-25DEC31,1768323124621,1768326673405,93638.515,coinbase,1488,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323125715,KXBTC-25DEC31,1768323125715,1768326673405,93632.005,coinbase,838,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323126850,KXBTC-25DEC31,1768323126850,1768326673405,93633.505,coinbase,184,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323127999,KXBTC-25DEC31,1768323127999,1768326673405,93631.73999999999,coinbase,367,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323129122,KXBTC-25DEC31,1768323129122,1768326673405,93630.005,coinbase,1340,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323130232,KXBTC-25DEC31,1768323130232,1768326673405,93626.10500000001,coinbase,398,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323131334,KXBTC-25DEC31,1768323131334,1768326673405,93621.965,coinbase,421,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323132433,KXBTC-25DEC31,1768323132433,1768326673405,93618.015,coinbase,497,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323239757,KXBTC-25DEC31,1768323239757,1768326839757,93628.005,coinbase,1346,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323240912,KXBTC-25DEC31,1768323240912,1768326839757,93622.005,coinbase,1443,kalshi,1,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323242038,KXBTC-25DEC31,1768323242038,1768326839757,93622.005,coinbase,2569,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323243129,KXBTC-25DEC31,1768323243129,1768326839757,93621.005,coinbase,1196,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323244255,KXBTC-25DEC31,1768323244255,1768326839757,93609.545,coinbase,1483,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323245354,KXBTC-25DEC31,1768323245354,1768326839757,93608.005,coinbase,1241,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323246469,KXBTC-25DEC31,1768323246469,1768326839757,93608.005,coinbase,2356,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323247564,KXBTC-25DEC31,1768323247564,1768326839757,93608.005,coinbase,3451,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323248659,KXBTC-25DEC31,1768323248659,1768326839757,93608.005,coinbase,48,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323249794,KXBTC-25DEC31,1768323249794,1768326839757,93608.005,coinbase,683,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323250890,KXBTC-25DEC31,1768323250890,1768326839757,93608.005,coinbase,657,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323251981,KXBTC-25DEC31,1768323251981,1768326839757,93608.005,coinbase,1559,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323253073,KXBTC-25DEC31,1768323253073,1768326839757,93608.005,coinbase,2651,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323254172,KXBTC-25DEC31,1768323254172,1768326839757,93601.265,coinbase,888,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323255272,KXBTC-25DEC31,1768323255272,1768326839757,93594.015,coinbase,1064,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323256366,KXBTC-25DEC31,1768323256366,1768326839757,93594.015,coinbase,2158,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323257462,KXBTC-25DEC31,1768323257462,1768326839757,93594.015,coinbase,3254,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323258569,KXBTC-25DEC31,1768323258569,1768326839757,93598.715,coinbase,1739,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323259657,KXBTC-25DEC31,1768323259657,1768326839757,93598.705,coinbase,908,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323260772,KXBTC-25DEC31,1768323260772,1768326839757,93598.705,coinbase,952,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323261893,KXBTC-25DEC31,1768323261893,1768326839757,93598.705,coinbase,2073,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323262997,KXBTC-25DEC31,1768323262997,1768326839757,93598.705,coinbase,3177,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323264100,KXBTC-25DEC31,1768323264100,1768326839757,93598.705,coinbase,4280,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323265202,KXBTC-25DEC31,1768323265202,1768326839757,93598.705,coinbase,5382,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323266302,KXBTC-25DEC31,1768323266302,1768326839757,93594.015,coinbase,682,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323267423,KXBTC-25DEC31,1768323267423,1768326839757,93586.655,coinbase,412,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323268523,KXBTC-25DEC31,1768323268523,1768326839757,93586.655,coinbase,1512,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323269633,KXBTC-25DEC31,1768323269633,1768326839757,93598.015,coinbase,334,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323270732,KXBTC-25DEC31,1768323270732,1768326839757,93598.015,coinbase,1338,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323271866,KXBTC-25DEC31,1768323271866,1768326839757,93601.255,coinbase,895,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323272957,KXBTC-25DEC31,1768323272957,1768326839757,93601.255,coinbase,1870,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323274061,KXBTC-25DEC31,1768323274061,1768326839757,93617.815,coinbase,838,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323275184,KXBTC-25DEC31,1768323275184,1768326839757,93617.815,coinbase,842,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323276273,KXBTC-25DEC31,1768323276273,1768326839757,93626.095,coinbase,1087,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323277360,KXBTC-25DEC31,1768323277360,1768326839757,93626.095,coinbase,2174,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323278453,KXBTC-25DEC31,1768323278453,1768326839757,93616.005,coinbase,1655,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323279546,KXBTC-25DEC31,1768323279546,1768326839757,93616.005,coinbase,919,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
